publish_date,positive,negative,neutral,compound,country,language
2019-03-15,0,0,1,0,Zimbabwe,ENG
2019-03-19,0,0,1,0,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-20,0.237,0,0.763,0.4767,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-20,0.204,0.162,0.634,0.1531,Zimbabwe,ENG
2019-03-20,0,0.187,0.813,-0.3182,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-20,0.256,0,0.744,0.4767,Zimbabwe,ENG
2019-03-20,0,0.539,0.461,-0.8481,Zimbabwe,ENG
2019-03-15,0,0.302,0.698,-0.5994,Zimbabwe,ENG
2019-03-15,0.278,0,0.722,0.4019,Zimbabwe,ENG
2019-03-15,0.239,0.211,0.55,0.0772,Zimbabwe,ENG
2019-03-21,0,0,1,0,Zimbabwe,ENG
2019-03-21,0,0.223,0.777,-0.3182,Zimbabwe,ENG
2019-03-21,0,0.369,0.631,-0.6249,Zimbabwe,ENG
2019-03-21,0,0.562,0.438,-0.8271,Zimbabwe,ENG
2019-03-21,0.221,0.228,0.552,-0.0258,Zimbabwe,ENG
2019-03-21,0,0.562,0.438,-0.8271,Zimbabwe,ENG
2019-03-21,0,0.403,0.597,-0.6597,Zimbabwe,ENG
2019-03-21,0,0.369,0.631,-0.6249,Zimbabwe,ENG
2019-03-21,0,0.281,0.719,-0.5994,Zimbabwe,ENG
2019-03-21,0,0,1,0,Zimbabwe,ENG
2019-03-21,0,0.231,0.769,-0.2732,Zimbabwe,ENG
2019-03-21,0,0.383,0.617,-0.7351,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-21,0,0.293,0.707,-0.4404,Zimbabwe,ENG
2019-03-21,0,0.407,0.593,-0.5859,Zimbabwe,ENG
2019-03-21,0,0.282,0.718,-0.6705,Zimbabwe,ENG
2019-03-21,0,0,1,0,Zimbabwe,ENG
2019-03-21,0,0.216,0.784,-0.296,Zimbabwe,ENG
2019-03-21,0,0.321,0.679,-0.6369,Zimbabwe,ENG
2019-03-21,0,0.369,0.631,-0.6249,Zimbabwe,ENG
2019-03-21,0,0.281,0.719,-0.5994,Zimbabwe,ENG
2019-03-21,0,0.2,0.8,-0.25,Zimbabwe,ENG
2019-03-21,0,0.277,0.723,-0.3182,Zimbabwe,ENG
2019-03-21,0,0,1,0,Zimbabwe,ENG
2019-03-21,0,0.438,0.562,-0.5994,Zimbabwe,ENG
2019-03-15,0,0,1,0,Zimbabwe,ENG
2019-03-21,0,0,1,0,Zimbabwe,ENG
2019-03-21,0,0.358,0.642,-0.5994,Zimbabwe,ENG
2019-03-15,0,0.126,0.874,-0.0772,Zimbabwe,ENG
2019-03-21,0,0.223,0.777,-0.3182,Zimbabwe,ENG
2019-03-21,0,0,1,0,Zimbabwe,ENG
2019-03-21,0.151,0.267,0.581,-0.25,Zimbabwe,ENG
2019-03-21,0,0.394,0.606,-0.1531,Zimbabwe,ENG
2019-03-21,0,0.315,0.685,-0.3182,Zimbabwe,ENG
2019-03-21,0,0.247,0.753,-0.3182,Zimbabwe,ENG
2019-03-21,0,0.223,0.777,-0.3182,Zimbabwe,ENG
2019-03-21,0,0.216,0.784,-0.296,Zimbabwe,ENG
2019-03-21,0.297,0.155,0.548,0.4767,Zimbabwe,ENG
2019-03-21,0,0.306,0.694,-0.5267,Zimbabwe,ENG
2019-03-15,0,0.223,0.777,-0.3182,Zimbabwe,ENG
2019-03-15,0,0.358,0.642,-0.5994,Zimbabwe,ENG
2019-03-21,0,0.315,0.685,-0.3182,Zimbabwe,ENG
2019-03-15,0.151,0.267,0.581,-0.25,Zimbabwe,ENG
2019-03-15,0,0,1,0,Zimbabwe,ENG
2019-03-15,0,0.394,0.606,-0.1531,Zimbabwe,ENG
2019-03-21,0,0.126,0.874,-0.0772,Zimbabwe,ENG
2019-03-21,0,0,1,0,Zimbabwe,ENG
2019-03-21,0.182,0.345,0.473,-0.34,Zimbabwe,ENG
2019-03-21,0.385,0.201,0.414,0.4767,Zimbabwe,ENG
2019-03-21,0,0,1,0,Zimbabwe,ENG
